Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Inflight entertainment,On-board service,Leg room service,Inflight service,Departure Delay in Minutes,Arrival Delay in Minutes,Churn
3,5,3,3,3,3,3,3,4,0,0,Churn
4,1,1,4,4,4,3,2,4,33,15,Not churn
1,1,1,4,4,5,5,5,5,4,0,Not churn
4,5,2,4,5,4,5,3,3,29,44,Not churn
3,5,3,3,3,3,5,4,5,0,21,Churn
4,4,4,3,5,4,4,5,4,0,0,Not churn
4,2,2,4,4,4,3,4,4,0,4,Not churn
3,3,3,5,5,5,3,5,1,0,0,Not churn
5,5,5,5,5,5,4,3,2,14,43,Not churn
0,0,0,2,5,5,5,0,5,17,15,Not churn
3,4,5,4,5,4,5,4,4,0,6,Churn
3,3,3,2,5,5,5,5,5,86,94,Not churn
5,5,5,1,5,1,5,4,2,0,0,Not churn
4,4,4,5,4,5,5,5,5,0,0,Not churn
3,3,3,3,5,5,5,5,5,0,0,Not churn
5,5,5,3,5,2,2,2,2,26,9,Not churn
1,3,1,5,1,5,3,5,5,0,0,Churn
5,3,3,2,2,5,5,5,5,0,6,Not churn
3,3,3,5,5,5,4,2,5,0,0,Not churn
3,3,3,3,3,3,3,5,4,32,27,Churn
4,4,4,4,4,4,3,3,4,6,3,Not churn
2,4,2,2,2,2,2,3,4,106,107,Churn
1,1,1,2,5,4,4,4,4,87,111,Not churn
4,4,4,4,4,4,4,4,4,0,0,Not churn
3,4,3,2,4,2,2,3,2,0,7,Churn
2,2,2,4,2,4,4,4,4,77,75,Churn
4,3,3,1,1,4,4,4,4,0,0,Not churn
2,4,2,4,2,4,4,1,4,8,3,Churn
2,2,2,4,5,3,3,3,3,43,33,Not churn
4,4,4,3,4,5,5,5,5,0,4,Not churn
1,1,1,2,1,2,3,4,4,0,0,Churn
5,4,3,3,1,5,5,5,5,4,0,Not churn
3,4,3,4,3,4,4,5,5,0,0,Churn
1,0,1,4,1,4,3,3,1,13,33,Churn
3,3,3,3,5,5,5,5,5,0,0,Not churn
3,3,3,2,4,3,3,3,3,2,0,Not churn
1,1,1,2,3,5,5,5,5,0,0,Not churn
2,3,2,1,2,1,3,4,2,0,0,Churn
2,2,4,2,5,4,4,4,4,0,0,Not churn
5,4,5,2,5,2,5,3,4,0,0,Not churn
3,4,3,3,3,3,5,4,4,20,12,Churn
4,3,4,4,5,5,5,4,5,83,94,Not churn
2,5,2,5,2,5,3,5,4,14,15,Churn
2,5,5,2,2,2,5,4,1,151,147,Churn
5,5,5,5,5,5,2,1,2,0,0,Not churn
2,2,2,5,2,5,1,1,1,73,98,Churn
4,4,4,4,4,4,1,1,2,40,49,Churn
2,4,2,3,3,3,1,1,1,0,0,Not churn
3,1,1,3,3,3,3,3,3,0,0,Churn
4,4,4,2,4,4,4,4,4,46,46,Not churn
2,0,2,3,4,2,2,2,2,0,0,Churn
2,2,2,2,5,5,5,5,5,0,0,Not churn
2,5,5,2,2,2,1,5,2,17,15,Churn
2,1,0,3,0,3,2,5,3,0,0,Churn
3,3,3,5,3,5,1,3,3,54,70,Churn
3,5,3,2,3,2,3,3,5,0,0,Churn
2,1,2,5,5,5,4,4,4,0,0,Not churn
0,4,0,2,0,2,5,4,4,1,11,Not churn
3,1,3,1,3,1,3,4,3,25,7,Churn
4,5,5,5,5,2,2,5,2,0,0,Churn
5,5,3,4,5,4,4,4,4,16,21,Not churn
5,5,5,4,5,4,4,5,1,0,0,Not churn
2,3,2,2,2,2,5,2,1,39,16,Churn
3,5,5,5,4,3,3,3,3,0,5,Churn
2,5,5,2,2,2,2,3,2,0,8,Churn
2,2,2,5,2,5,4,3,4,0,26,Churn
2,5,5,1,4,2,2,2,2,0,0,Churn
4,4,4,4,4,4,4,4,4,7,10,Churn
1,5,1,4,5,2,2,1,2,0,0,Churn
1,1,1,4,5,4,4,4,4,0,0,Not churn
1,0,1,4,1,4,4,4,4,0,0,Churn
2,2,2,5,5,5,5,2,4,25,40,Not churn
3,3,5,2,3,3,3,3,3,0,0,Churn
2,3,3,1,2,1,4,5,4,0,2,Churn
1,1,1,2,4,5,5,5,5,7,6,Not churn
2,1,1,2,2,2,3,5,3,0,10,Churn
2,2,2,4,2,4,4,5,3,0,12,Churn
3,5,3,1,3,1,4,3,4,0,0,Churn
2,5,5,3,2,2,2,2,2,0,0,Churn
0,4,0,4,4,4,3,4,4,9,4,Not churn
2,4,1,5,4,3,3,1,3,2,0,Churn
2,2,2,2,2,2,4,1,3,6,7,Not churn
3,3,3,4,4,5,5,5,5,0,0,Not churn
5,5,5,5,5,5,3,5,5,0,4,Not churn
4,2,4,5,4,5,1,3,3,0,0,Churn
3,2,2,4,3,3,3,3,3,76,70,Churn
3,5,3,2,5,3,3,3,3,0,0,Churn
3,5,4,3,4,3,4,5,4,0,0,Churn
4,4,4,2,5,4,4,4,4,0,0,Not churn
4,4,4,5,4,5,5,5,5,57,41,Not churn
5,0,5,2,5,2,1,3,1,7,0,Not churn
3,5,2,4,4,3,3,3,3,17,10,Churn
1,3,3,5,4,1,1,1,1,0,0,Churn
3,5,3,1,3,1,3,5,1,8,7,Churn
2,4,2,4,5,2,2,2,2,0,0,Churn
2,2,2,3,5,5,5,5,5,0,0,Not churn
4,4,4,4,4,4,4,5,4,0,0,Not churn
1,2,2,4,2,4,4,4,2,72,55,Churn
3,4,3,4,3,4,3,5,4,8,6,Churn
2,1,2,5,2,5,3,5,3,0,0,Churn
1,1,1,4,3,4,4,4,4,0,0,Churn
5,5,5,4,5,4,4,4,4,21,0,Not churn
2,5,2,1,2,1,4,2,4,0,0,Churn
5,5,5,4,5,5,5,5,5,2,0,Not churn
5,4,5,5,4,5,2,5,3,131,143,Not churn
3,3,3,2,4,5,5,5,5,0,0,Not churn
5,5,5,4,5,4,3,2,5,20,13,Not churn
2,2,2,4,4,4,4,4,4,0,0,Not churn
3,4,5,4,4,3,3,3,3,6,5,Churn
2,4,4,5,2,2,2,2,2,0,0,Churn
1,1,2,3,4,4,4,4,4,0,1,Not churn
4,0,4,4,4,4,1,5,5,0,0,Not churn
3,5,3,2,3,2,2,1,4,0,0,Churn
1,1,1,4,4,4,5,4,4,0,0,Not churn
4,4,4,3,4,3,2,5,5,5,18,Churn
3,4,3,2,3,2,3,2,4,0,0,Churn
2,2,2,4,4,4,4,4,4,1,10,Not churn
2,1,1,2,3,2,2,2,2,0,0,Churn
3,5,3,4,3,4,1,2,1,0,0,Churn
1,5,1,1,3,1,2,3,2,6,0,Churn
1,1,1,3,4,3,3,4,3,8,0,Not churn
3,4,2,3,4,2,2,2,2,1,7,Churn
4,4,4,1,4,1,1,4,2,0,0,Not churn
1,5,1,4,1,4,5,4,4,36,41,Churn
2,2,2,4,4,3,3,3,3,0,0,Not churn
4,5,5,4,4,4,1,3,2,52,70,Not churn
2,4,2,2,2,2,3,5,4,29,26,Churn
5,0,5,4,5,4,3,4,5,19,93,Not churn
3,5,5,5,4,3,3,3,3,0,0,Churn
1,1,1,1,4,5,5,5,5,0,1,Not churn
2,2,2,5,5,5,1,3,4,5,0,Not churn
4,4,4,4,4,4,3,5,4,0,0,Churn
2,4,2,2,2,2,3,4,4,25,19,Churn
2,5,2,1,2,1,2,4,3,0,0,Churn
4,4,4,2,4,3,3,4,3,121,94,Not churn
4,4,4,3,4,3,4,5,5,10,0,Not churn
3,2,2,3,3,3,3,2,3,69,77,Churn
2,2,2,1,2,1,4,3,5,0,0,Churn
2,2,2,2,2,2,4,3,2,0,0,Churn
3,3,4,4,4,4,4,4,4,9,0,Not churn
1,1,3,5,5,2,2,2,2,0,0,Not churn
2,3,2,5,2,5,3,5,4,9,2,Churn
3,1,1,1,3,3,3,3,3,9,0,Churn
2,2,2,2,2,2,4,5,3,10,2,Churn
2,4,2,3,5,3,3,2,3,3,0,Churn
2,5,5,2,3,2,2,2,2,0,0,Churn
2,2,2,2,2,2,3,3,5,0,0,Churn
1,1,1,2,2,1,1,1,1,0,2,Churn
3,2,2,3,3,3,3,5,3,17,25,Churn
1,1,5,2,1,5,5,5,5,0,6,Not churn
3,5,5,3,3,3,2,4,3,58,41,Churn
3,3,3,3,3,3,4,1,4,11,18,Churn
5,5,5,5,5,3,3,4,3,67,57,Not churn
4,4,4,4,5,3,3,4,3,0,1,Not churn
5,5,5,2,5,2,4,3,5,2,4,Not churn
1,4,1,3,2,2,2,1,2,0,0,Churn
3,3,3,5,5,5,3,4,4,17,0,Not churn
2,4,2,4,3,3,3,2,3,0,0,Churn
2,2,2,1,1,4,4,4,4,0,0,Not churn
1,1,1,2,5,4,4,4,4,0,0,Not churn
3,1,3,3,3,3,1,4,3,20,0,Churn
1,1,1,5,2,5,5,5,5,0,0,Not churn
2,5,5,4,4,2,2,2,2,0,0,Churn
1,0,0,3,0,3,4,4,3,0,3,Churn
2,2,2,3,4,3,3,2,4,0,0,Not churn
3,3,3,3,4,4,4,4,4,0,0,Not churn
5,5,5,3,4,5,5,5,5,2,0,Not churn
4,2,4,5,4,5,1,4,4,0,0,Churn
4,4,4,3,4,5,5,5,5,3,0,Not churn
1,1,1,1,4,4,2,4,1,0,18,Churn
3,3,3,4,3,4,1,2,4,10,22,Churn
1,2,2,2,2,2,2,4,4,0,0,Churn
4,3,4,4,4,4,2,1,1,5,0,Not churn
2,5,5,2,2,2,4,1,3,0,0,Churn
1,4,1,2,1,2,3,2,4,0,0,Churn
5,5,5,2,1,5,5,5,5,0,0,Not churn
4,4,4,5,3,4,4,4,4,6,0,Not churn
3,5,3,4,3,4,4,3,4,14,28,Churn
2,2,2,4,2,4,3,2,5,0,0,Not churn
2,2,2,1,2,1,4,2,5,6,0,Churn
2,5,2,2,5,4,4,2,4,0,0,Churn
4,5,5,4,4,4,5,3,1,4,7,Not churn
3,4,4,4,4,4,3,5,4,0,0,Churn
4,5,5,4,4,4,3,2,2,0,0,Not churn
5,3,3,4,5,5,5,5,5,0,0,Not churn
4,4,4,2,2,5,5,4,5,0,1,Churn
3,4,2,3,2,3,4,2,4,0,0,Churn
2,3,2,4,2,4,4,2,2,13,3,Churn
1,5,1,3,1,3,3,2,5,48,41,Churn
4,4,4,4,4,2,5,3,4,0,13,Churn
2,2,2,5,5,5,3,2,5,0,1,Not churn
2,4,2,2,2,2,2,5,3,15,9,Churn
1,1,1,5,5,5,4,4,4,14,61,Not churn
2,4,2,2,2,2,2,2,4,38,30,Churn
3,3,3,4,3,4,5,5,3,0,0,Churn
4,4,3,4,4,4,4,4,4,0,0,Not churn
4,4,4,2,4,2,1,2,4,0,0,Churn
3,3,3,4,4,5,5,5,5,0,0,Not churn
2,3,2,2,2,4,1,3,3,3,14,Churn
5,4,4,5,5,5,2,5,5,0,0,Not churn
4,2,4,2,4,2,3,3,4,0,0,Churn
1,5,1,3,1,3,4,5,1,0,18,Churn
4,4,4,5,4,4,4,4,4,103,101,Not churn
3,4,4,3,3,3,4,2,3,0,0,Not churn
5,3,5,1,5,1,5,5,2,0,0,Not churn
4,1,4,3,4,3,4,4,3,0,0,Not churn
3,2,3,1,3,1,3,1,3,16,14,Churn
3,2,5,1,5,1,4,4,3,0,0,Churn
3,5,5,3,3,3,2,3,4,40,18,Churn
4,4,4,3,4,3,2,2,4,0,0,Churn
4,5,4,4,4,4,4,2,5,0,0,Churn
5,3,3,5,4,5,5,5,5,0,0,Not churn
4,2,4,2,4,2,3,4,4,0,0,Churn
4,0,4,2,4,2,4,5,4,74,68,Not churn
3,4,3,5,3,5,3,4,5,0,3,Churn
2,1,5,2,2,2,3,2,4,0,0,Churn
4,4,4,3,4,3,5,4,5,0,0,Churn
3,3,3,4,4,5,5,5,5,0,0,Not churn
5,0,5,1,0,1,3,4,4,0,0,Not churn
1,2,2,3,3,1,1,2,1,5,0,Churn
4,4,4,3,4,3,1,1,5,0,0,Churn
3,4,3,2,4,4,4,4,4,8,25,Not churn
3,5,3,2,3,2,4,5,5,0,0,Churn
1,5,5,3,4,1,1,1,1,0,0,Churn
5,5,5,4,4,4,4,4,4,0,0,Not churn
4,4,4,4,5,4,4,4,4,73,60,Not churn
5,1,5,3,5,4,4,4,4,6,5,Not churn
4,4,4,2,4,4,4,4,4,0,0,Not churn
4,0,4,2,4,2,5,2,5,0,0,Not churn
3,2,2,3,3,3,1,4,3,0,0,Churn
4,3,4,5,5,2,2,2,2,0,0,Not churn
3,3,3,5,4,4,4,4,4,0,0,Not churn
2,2,2,4,4,4,4,4,5,0,0,Not churn
2,4,2,5,2,5,4,5,4,0,0,Churn
1,1,1,4,1,4,2,3,2,0,0,Churn
2,5,5,5,3,2,2,3,2,0,0,Churn
3,5,5,3,3,3,2,4,4,132,121,Churn
2,5,5,2,2,2,2,2,2,8,6,Churn
4,3,3,4,4,4,4,1,4,0,0,Churn
4,2,2,2,4,4,4,4,4,0,18,Churn
2,2,2,1,2,1,2,2,3,0,0,Churn
4,2,4,5,4,5,1,1,2,0,0,Churn
5,5,5,4,4,4,2,4,4,30,28,Not churn
0,0,0,1,1,1,3,5,4,23,25,Not churn
1,1,1,1,1,1,3,3,4,19,0,Churn
4,5,4,2,4,2,2,4,2,0,0,Churn
5,5,5,5,4,4,4,4,4,3,4,Not churn
5,5,5,2,5,4,4,4,4,0,0,Not churn
3,4,0,4,0,4,5,4,2,0,0,Churn
2,5,2,1,2,1,4,4,4,0,6,Churn
1,2,1,2,1,2,4,5,4,29,26,Churn
1,1,1,4,3,4,4,4,4,8,0,Not churn
0,0,0,1,2,3,3,4,3,0,9,Not churn
2,1,1,2,2,2,4,1,4,0,4,Churn
3,3,3,4,3,4,1,4,5,6,15,Churn
1,3,1,4,1,4,1,4,3,0,0,Churn
4,2,4,5,4,5,4,2,2,0,0,Churn
4,4,4,5,5,2,2,4,2,5,5,Not churn
3,5,3,3,2,3,4,4,4,0,38,Churn
3,4,3,1,3,1,1,4,4,22,36,Churn
4,0,5,1,5,1,4,2,4,0,0,Not churn
3,4,3,4,3,4,3,3,5,0,0,Churn
2,5,5,2,5,2,4,5,2,0,0,Churn
2,2,2,1,1,4,4,4,4,0,0,Not churn
4,4,2,5,5,2,2,2,2,0,0,Not churn
3,0,3,3,5,3,5,4,3,166,148,Churn
2,0,2,4,2,4,1,3,3,0,0,Churn
3,3,3,5,5,4,4,4,4,42,42,Not churn
3,4,4,3,3,3,1,4,2,0,0,Churn
2,2,3,5,3,5,4,2,3,0,0,Churn
4,4,4,5,2,4,4,4,4,0,13,Not churn
5,2,2,5,5,5,3,4,3,0,0,Not churn
2,1,2,2,2,2,1,1,4,3,0,Churn
3,4,3,3,3,3,2,2,4,105,98,Churn
0,5,0,3,5,5,5,5,5,111,105,Not churn
2,5,5,2,1,2,2,2,2,34,11,Churn
4,0,4,4,4,4,5,5,5,2,3,Not churn
2,3,2,5,3,2,2,2,2,0,0,Churn
2,2,2,5,4,5,5,5,5,0,0,Not churn
3,3,5,2,4,5,5,5,5,0,0,Not churn
2,5,2,2,4,3,3,2,3,0,0,Churn
2,2,2,2,2,2,5,5,4,0,0,Churn
2,4,2,4,2,4,4,2,4,23,9,Churn
2,4,5,2,2,2,1,4,1,0,0,Churn
1,5,1,4,1,4,5,3,5,0,0,Churn
0,5,0,5,1,5,5,5,5,3,0,Not churn
5,5,5,2,5,5,5,5,5,7,1,Not churn
3,4,3,3,5,2,2,3,2,15,4,Churn
4,4,4,5,4,4,4,4,4,41,30,Churn
3,2,2,4,1,4,4,3,4,65,55,Not churn
3,5,3,5,3,5,4,4,5,3,0,Churn
3,3,3,5,4,4,4,4,4,9,0,Not churn
2,4,4,5,4,2,2,2,2,44,43,Churn
4,4,4,4,3,4,4,4,4,0,0,Churn
2,2,2,3,5,2,2,2,2,0,0,Not churn
2,5,2,3,2,3,4,2,4,0,3,Churn
1,1,1,1,1,1,3,3,4,0,0,Churn
2,1,2,4,4,4,5,5,5,0,0,Not churn
3,4,3,1,3,1,3,1,3,12,2,Churn
3,2,3,2,5,3,3,4,3,18,8,Not churn
3,3,3,4,5,5,5,5,5,6,0,Not churn
4,2,4,4,5,5,5,5,5,1,0,Not churn
3,3,3,4,4,4,4,2,1,0,0,Not churn
2,2,2,2,2,3,1,3,4,151,131,Churn
4,1,4,3,3,2,2,4,2,0,0,Churn
4,4,4,2,5,3,3,4,3,0,28,Not churn
1,3,3,1,1,1,2,1,4,0,0,Churn
5,5,5,4,2,5,5,5,5,37,13,Not churn
2,4,2,1,2,1,4,4,5,0,13,Churn
4,3,3,1,4,1,2,3,3,1,0,Churn
5,5,5,4,4,5,5,5,5,59,58,Not churn
4,2,5,4,5,4,1,1,1,80,90,Not churn
2,5,2,1,2,1,1,1,2,0,0,Churn
4,3,4,4,4,4,3,1,4,0,0,Not churn
1,5,1,5,1,5,5,3,5,17,16,Churn
1,0,0,1,3,4,4,0,4,43,40,Churn
1,1,1,2,4,2,2,2,2,6,0,Not churn
2,3,3,1,3,1,4,2,4,23,18,Churn
3,4,3,1,1,3,3,3,3,8,7,Churn
1,4,4,2,4,1,1,2,1,18,5,Churn
2,4,2,4,2,4,3,1,3,0,0,Churn
3,3,3,5,5,1,1,3,1,0,0,Churn
3,4,3,3,5,5,5,3,5,0,0,Churn
4,4,4,5,5,5,3,3,4,21,4,Not churn
2,2,2,3,4,5,5,5,5,0,0,Not churn
3,0,3,3,3,3,2,1,5,0,0,Churn
4,4,4,2,5,5,5,4,5,0,0,Churn
3,3,3,4,2,3,3,3,3,13,7,Churn
5,5,3,4,5,4,4,4,4,0,0,Not churn
2,5,2,3,4,4,4,2,4,0,0,Churn
4,5,4,2,4,2,5,3,4,26,7,Churn
2,2,3,4,3,4,3,3,4,0,0,Churn
1,2,3,1,1,1,2,5,4,0,6,Churn
2,2,2,1,2,1,4,3,3,16,13,Churn
4,5,5,4,3,4,4,4,4,0,0,Churn
4,5,5,5,5,5,4,5,5,7,0,Not churn
1,1,1,4,5,5,5,5,5,0,0,Not churn
4,4,4,4,4,4,3,5,5,2,0,Not churn
3,5,3,5,4,2,2,3,2,0,0,Churn
1,3,1,1,1,1,3,2,4,0,0,Churn
4,5,3,4,4,4,2,5,3,0,0,Churn
5,5,5,2,4,4,4,4,4,20,16,Not churn
3,4,3,5,4,1,1,3,1,4,8,Churn
2,2,2,3,4,5,5,5,5,0,0,Not churn
2,5,5,2,3,2,2,2,2,14,5,Churn
0,5,0,4,4,5,5,5,5,0,0,Not churn
5,0,5,1,5,1,4,5,4,0,0,Not churn
4,4,4,3,4,3,3,3,3,3,1,Not churn
2,2,1,4,4,4,3,5,5,0,0,Not churn
4,3,3,4,4,4,4,4,3,63,59,Churn
4,4,4,4,4,4,3,4,4,0,9,Churn
1,5,5,1,1,1,2,3,3,17,11,Churn
2,4,2,3,2,3,5,3,5,0,4,Churn
2,4,1,1,1,1,3,5,5,60,67,Churn
4,4,4,3,4,3,3,3,4,5,0,Not churn
4,5,5,1,5,1,3,4,5,18,6,Churn
4,5,0,4,0,4,3,3,5,0,0,Churn
4,4,4,4,4,2,2,2,2,0,0,Not churn
3,3,3,5,5,5,5,4,4,0,0,Not churn
3,3,3,4,3,4,3,3,4,3,1,Churn
1,1,1,4,2,5,5,5,5,0,0,Not churn
4,4,4,4,4,4,4,4,4,100,109,Churn
2,2,2,2,2,2,2,3,3,3,6,Churn
4,3,4,2,4,2,3,4,3,0,0,Churn
1,5,1,5,1,5,5,4,4,0,0,Churn
0,5,0,4,0,4,3,4,4,0,11,Not churn
4,2,4,4,4,4,2,3,4,0,8,Churn
2,2,2,5,5,5,3,3,5,0,0,Not churn
4,4,4,5,4,5,5,5,5,0,1,Not churn
4,4,5,2,5,4,4,4,4,9,17,Not churn
3,4,4,3,3,3,3,5,3,0,0,Churn
3,1,3,2,3,2,1,1,3,0,0,Churn
1,1,1,5,4,3,3,2,3,0,0,Not churn
1,5,1,4,1,4,4,2,5,0,0,Churn
4,4,4,1,4,4,4,4,4,42,37,Churn
3,3,3,3,3,3,3,3,3,62,55,Churn
3,3,3,2,2,2,3,4,5,3,0,Not churn
3,4,3,5,3,5,1,1,4,87,84,Churn
1,1,1,1,1,1,2,1,3,0,8,Churn
2,3,2,2,2,2,4,5,4,0,0,Churn
5,5,5,5,5,5,3,4,4,0,0,Not churn
0,0,0,2,0,2,5,4,4,18,19,Not churn
4,0,3,5,3,5,5,4,4,0,2,Not churn
5,1,1,5,5,5,4,3,4,5,0,Not churn
2,4,2,1,2,1,3,3,5,0,2,Churn
2,0,2,4,2,4,1,3,5,1,0,Churn
1,5,5,1,1,2,2,4,2,7,18,Churn
5,5,5,4,5,5,5,5,5,0,0,Not churn
2,5,5,2,2,2,3,4,4,7,14,Churn
3,4,3,5,3,5,4,4,1,2,0,Churn
4,0,4,4,4,4,5,4,5,20,5,Churn
4,4,4,3,5,5,5,5,5,0,0,Not churn
1,4,1,2,4,3,3,1,3,31,11,Churn
3,2,2,3,3,3,4,5,2,0,0,Churn
2,4,2,3,4,5,5,2,5,0,13,Churn
2,3,3,2,1,2,1,1,3,0,13,Churn
2,2,2,5,5,5,5,5,5,79,68,Not churn
1,2,2,1,1,1,4,2,4,0,0,Churn
1,1,4,2,3,1,1,1,1,50,48,Churn
1,4,1,5,1,5,5,2,5,0,0,Churn
2,2,2,4,5,4,4,4,4,5,0,Not churn
3,2,0,5,0,5,3,4,3,0,0,Churn
3,3,3,3,5,5,5,5,5,0,0,Not churn
2,5,4,2,2,2,1,2,3,40,28,Churn
1,1,1,5,4,3,3,3,3,0,0,Not churn
4,4,5,3,4,5,5,5,5,0,0,Not churn
3,5,3,2,3,2,4,5,5,0,11,Churn
1,4,1,1,1,1,4,1,3,2,0,Churn
4,4,4,5,5,5,3,5,3,0,0,Not churn
4,5,2,3,2,3,3,1,5,0,0,Not churn
2,1,2,1,2,1,2,4,3,0,0,Churn
3,3,3,4,3,4,3,5,2,0,3,Churn
2,3,3,2,2,2,3,1,3,0,4,Churn
3,3,3,3,3,3,2,3,4,0,0,Churn
5,5,5,5,5,5,4,5,1,0,0,Not churn
3,1,3,1,3,1,4,4,2,35,32,Churn
3,4,3,1,4,2,2,3,2,0,0,Churn
2,0,1,2,1,2,1,5,1,2,4,Churn
1,4,1,3,1,3,1,3,4,15,0,Churn
3,2,2,3,3,1,3,4,4,39,16,Churn
2,1,2,2,5,3,3,2,2,0,23,Churn
3,3,3,3,3,3,1,3,3,0,0,Churn
1,1,1,2,4,5,5,5,5,0,1,Not churn
1,3,3,1,1,1,1,1,3,0,0,Churn
3,4,3,3,3,3,3,4,5,89,69,Churn
5,5,5,5,1,4,4,5,4,33,21,Not churn
2,4,4,2,2,2,3,1,4,1,6,Churn
1,1,3,4,4,5,5,5,5,11,2,Not churn
3,1,3,5,2,1,1,3,1,0,0,Churn
1,1,1,5,4,4,4,4,4,0,0,Not churn
5,0,5,5,5,5,5,3,4,0,0,Not churn
3,5,4,4,4,3,3,3,3,15,12,Churn
3,3,3,4,4,5,5,5,5,0,0,Not churn
2,1,2,2,5,3,2,4,1,141,141,Churn
5,5,5,4,4,5,5,5,5,44,38,Not churn
4,2,4,1,2,3,3,4,3,0,0,Churn
3,4,3,3,3,3,5,3,5,12,14,Churn
4,4,4,5,4,5,5,5,5,11,0,Not churn
1,4,1,3,5,5,5,1,5,20,6,Churn
1,1,1,4,5,3,3,3,3,0,2,Not churn
3,2,2,3,2,3,4,4,2,94,111,Churn
3,3,5,2,5,1,1,2,1,0,5,Not churn
3,3,3,4,4,5,5,5,5,0,0,Not churn
4,4,4,4,4,5,5,5,5,0,0,Not churn
3,4,3,3,3,3,4,2,5,44,42,Churn
0,0,0,2,5,2,2,2,2,22,52,Not churn
1,3,3,1,1,1,2,1,4,12,31,Churn
5,2,2,5,5,2,2,3,4,197,174,Not churn
3,2,2,3,2,3,1,3,4,34,29,Churn
0,5,0,4,4,1,1,1,1,0,0,Not churn
1,1,1,1,1,4,2,4,5,255,236,Churn
1,2,1,2,1,2,4,4,3,0,0,Churn
3,2,2,3,3,3,4,4,2,71,69,Churn
2,5,2,2,4,5,5,2,5,12,16,Churn
4,5,3,5,3,5,4,3,4,48,82,Churn
0,5,0,5,5,4,4,4,4,0,0,Not churn
4,5,4,5,4,5,4,2,5,0,0,Churn
2,2,2,2,5,4,4,4,4,29,40,Not churn
5,5,5,4,5,4,2,3,5,0,0,Not churn
1,2,1,5,1,5,4,4,4,8,0,Churn
1,2,2,3,2,4,4,4,4,0,19,Churn
3,3,4,3,5,4,4,4,4,0,0,Not churn
2,3,3,2,2,2,4,1,3,34,37,Churn
3,4,3,3,3,3,5,3,4,87,86,Churn
1,1,1,3,5,4,4,4,4,0,0,Not churn
1,1,1,5,4,5,5,5,5,2,21,Not churn
2,2,2,4,5,4,4,4,4,0,0,Not churn
3,3,3,4,4,4,4,3,5,0,0,Not churn
3,2,2,3,2,3,3,3,3,13,18,Churn
1,1,1,5,1,5,3,1,4,58,36,Churn
4,4,4,5,5,4,4,4,4,0,0,Not churn
1,2,2,5,4,1,1,1,1,0,0,Churn
3,2,3,3,3,3,1,3,3,101,94,Churn
3,3,3,2,5,5,5,5,5,0,0,Not churn
3,5,3,2,3,2,4,5,4,3,1,Churn
4,4,4,4,4,4,4,2,4,0,0,Churn
3,5,3,4,3,4,4,3,4,7,0,Churn
5,5,5,5,2,4,4,4,4,2,0,Not churn
4,3,3,4,4,4,1,1,4,0,0,Churn
4,5,5,4,4,4,2,3,2,62,46,Not churn
4,4,2,4,5,5,5,5,5,21,19,Not churn
1,1,1,1,4,1,1,1,1,11,10,Churn
3,4,4,3,4,3,2,4,3,0,0,Churn
1,4,1,4,1,4,3,2,5,0,0,Churn
4,1,3,4,4,4,1,1,4,1,0,Churn
2,5,5,2,2,2,3,2,4,0,0,Churn
2,5,5,2,2,2,2,2,2,50,41,Churn
3,2,2,1,3,1,4,5,4,0,0,Churn
1,1,1,3,5,3,3,4,3,7,22,Not churn
5,5,5,5,5,5,3,2,5,74,68,Not churn
1,3,1,4,1,4,4,5,3,18,43,Churn
5,5,5,5,5,5,3,3,3,0,0,Not churn
5,5,5,3,4,2,2,2,2,0,0,Not churn
4,4,4,5,5,2,4,5,2,157,138,Not churn
4,2,5,2,4,4,4,4,4,23,0,Not churn
3,1,3,5,5,5,5,5,5,0,0,Not churn
2,2,2,5,5,5,5,3,4,2,18,Not churn
2,2,2,3,2,3,5,4,5,0,0,Churn
2,4,2,4,2,4,5,4,4,0,0,Churn
2,5,2,5,5,4,4,2,4,0,0,Churn
3,2,2,2,3,3,3,2,3,56,70,Churn
2,4,2,2,4,4,4,2,4,60,44,Churn
4,4,4,2,2,2,5,4,5,0,0,Not churn
1,1,1,1,1,1,3,3,4,0,0,Churn
3,3,3,3,3,3,1,2,3,0,0,Churn
5,5,3,4,4,4,5,5,5,0,0,Not churn
2,1,3,2,2,2,3,2,5,2,0,Not churn
4,4,4,3,4,3,4,5,5,27,8,Churn
0,5,0,4,5,5,5,5,5,0,0,Not churn
3,3,3,1,3,3,3,3,3,22,6,Churn
1,4,1,1,1,2,2,1,2,0,0,Churn
2,2,2,4,4,4,4,4,4,0,0,Not churn
4,0,4,2,4,2,1,5,2,0,0,Not churn
3,3,3,3,4,2,2,2,2,0,0,Not churn
3,3,3,2,5,5,5,5,5,0,0,Not churn
2,3,2,4,2,4,1,2,3,0,8,Churn
3,2,2,5,2,5,5,2,5,0,0,Churn
2,4,2,5,2,5,5,5,5,3,14,Churn
2,2,2,4,4,4,4,4,4,0,0,Not churn
1,1,1,5,1,5,4,5,5,0,0,Churn
0,0,0,2,5,2,2,2,2,0,1,Not churn
4,3,3,2,3,3,3,3,3,43,35,Churn
5,0,5,2,5,2,4,2,4,0,0,Not churn
4,4,4,3,4,3,1,4,4,1,0,Not churn
4,4,4,5,5,5,3,2,5,25,17,Not churn
